,progress_10_years_tr
10486,
10487,
10488,Seems that women’s rights are not progressing as they should be. Women are still the lesser sex when it comes to professional job opportunities
10489,
10490,
10491,
10492,Equal living on earth 
10493,"All women regardless of race , background , religion , sexual orientation having the same opportunities , living without violence and harm and be the way they can be "
10494,Not having to choose between family and work
10495,
10496,There will be no progress
10497,A safe world for women where women call the shots on issues that directly affect them. 
10498,
10499,"Equal pay, women in supervisory and political positions, female safety "
10500,
10501,Safety. Respect. Equality 
10502,Equal pay and opportunities 
10503,"Better reproductive control, a shrinking wage gap, better assault reporting outcomes. "
10504,
10505,
10506,Having women taken seriously on all levels and issues.
10507,
10508,
10509,"Equal pay; no more double standards when it comes to appearance, what we wear, how we behave. Acknowledgment that we are all different (and that is fantastic) but not when it comes to fundamental rights."
10510,"Women holding a good amount of positions of power, minimal cases of sexual harassment and violence and more immigrant women becoming breadwinners"
10511,"A more female dominated world. Women deserve all of the same rights as men do. Men can do basically whatever they want where women are constantly under ridicule. We cannot make our own choices for our body, we do not feel safe in our own communities, are not offered the same opportunities. "
10512,A woman who can protect herself mentally and physically but also be able to protect others. Along with financially be stable without a partner. Being able to feel safe and have tools and sources to get help or be easily accessible.
10513,"Equity / equality in pay, opportunities, and an elimination of sexual harassment and violence. A shift in cultural norms which contribute to these"
10514,
10515,
10516,
10517,
10518,"Equal pay, not feeling scared to walk alone at night. "
10519,"Free menstrual products, women are able to go on a walk at night without the fear of being assaulted, closing the gap in the double standard, not teaching our children subconsciously in school that its up to the girls to have to adjust in order to make the area better for men ei dress codes that solely focus on women and turns a blind eye towards men,  being able to go onto social media and not seeing some Karen blaming women in the industry for a song that the artist produced because they don'`t want their children to hear it even though there are men everywhere doing the same thing but the Karen'`s of the world don'`t go after them because society has given the burden that women should be responsible for almost anything and everything,  equal pay, HR reps for companies actually there to help the staff and not the company, stop putting gender labels on clothes (clothes don'`t have genders), NO MORE GENDER PRICING!! I'`m tired of seeing the same product like deorderant for example the men'`s 78g stick will be $4 while the women'`s version will be $6 for 48g, women are constantly shouldering the fragile ego of men, expected to parent everyone'`s children, make the atmosphere more comfortable for me even though they'`re aren'`t comfortable themselves, victim blamed. 10 years from now I want to see women TRULY TREATED AS EQUALS."
