iso3166,gender,race,age,language,progress_10_years_tr
UG,man+transgender_man+transgender_woman+woman,black_or_of_african_descent,45 to 54,en,It will be a success story because so many women have come up to work
IT,woman,white,65 to 74,it,I hope better
IT,woman,white,75 or older,en,Lentl
PY,woman,hispanic_or_latinx,25 to 34,es,Respect 
IT,woman,hispanic_or_latinx,55 to 64,it,Maybe worse
PY,cisgender_woman+woman,biracial_or_mixed+hispanic_or_latinx,18 to 24,es,The rates of femicide and violence against women are greatly reduced. A problem very present in my country. Complaints are taken into account and action is taken immediately 
PY,woman,hispanic_or_latinx,45 to 54,es,"Although there are weaknesses, I think there are advances, but the need for greater empowerment of women, because this benefits the whole family."
PY,woman,hispanic_or_latinx+white,55 to 64,,
PY,woman,biracial_or_mixed,25 to 34,es,"It will be something very delayed since you still see a lot of gender violence, from my point of view everything is due to the lack of education and values"
PY,woman,hispanic_or_latinx,55 to 64,,
ID,woman,choose_not_to_identify,45 to 54,id,Good
ID,woman,asian,45 to 54,,
PY,woman,choose_not_to_identify,18 to 24,es,"Progress would be very high, because more priority will be given to women and there will be no equality for men"
ID,woman,southeast_asian,35 to 44,id,"Women should not be oppressed, and treated harshly by men."
ID,woman,southeast_asian,18 to 24,id,Worse
PY,woman,hispanic_or_latinx,35 to 44,es,May democracy finally repair the historical debt that Paraguay has with women and may we be free to decide on our first territory: our own body. No more alienation of women!
PY,woman,racial_identity_not_listed,25 to 34,es,I think it'`s going to be very good!
ID,woman,asian,45 to 54,id,"Women have begun to be equated, especially in developed countries. women are free to politics and work healthy."
PY,woman,biracial_or_mixed,18 to 24,,
PY,woman,hispanic_or_latinx,55 to 64,,
UG,woman,black_or_of_african_descent,45 to 54,en,"Equal opportunities,access to health andeducation "
PY,woman,hispanic_or_latinx,45 to 54,es,Well
PY,woman,hispanic_or_latinx,35 to 44,es,"On an equal footing with men, thanks to the new generation with a more open mind."
ID,woman,choose_not_to_identify,35 to 44,id,Standard
UG,cisgender_woman+non_conforming_or_non_binary+woman,black_or_of_african_descent+indigenous,25 to 34,en,"In the next 10years , women should be in position to enjoy all human rights.\r\n"
ID,woman,choose_not_to_identify,25 to 34,ms,It'`s good for me
ID,woman,southeast_asian,45 to 54,id,"Women are given the opportunity to work outside the home. And also in various sectors of life such as taking part in education, economics, health even in the world of politics."
ID,woman,asian,55 to 64,id,There'`s no difference 
IT,woman,hispanic_or_latinx,65 to 74,it,I have no idea
PY,woman,choose_not_to_identify,35 to 44,es,Uncertain
IT,woman,asian,45 to 54,it,"I believe that something will improve, but there will still be a long way to go."
PY,woman,white,18 to 24,es,I think there will be but very little.
PY,woman,hispanic_or_latinx,55 to 64,es,Elder
PY,woman,racial_identity_not_listed,35 to 44,es,I look forward to a future change and realization of women'`s rights
ID,woman,choose_not_to_identify,25 to 34,,
PY,woman,asian,65 to 74,es,"Guarantee of life for all human beings, especially for the most unprotected sectors. Indigenous, elderly..."
PY,woman,choose_not_to_identify,25 to 34,,
ID,woman,asian,18 to 24,id,Very good
ID,man+woman,indigenous,45 to 54,id,Gender equality has begun to be positioned and the involvement of women participating in decision-making planners is banging and suppressing policy.
IT,woman,choose_not_to_identify,55 to 64,it,Scarce
UG,woman,black_or_of_african_descent,25 to 34,en,Women are treated equally irrespective 
PY,woman,hispanic_or_latinx,55 to 64,es,Much better than today.. a improved more than before and I assume not to admit them backwards. 
IT,woman,white,45 to 54,it,If no one does anything we find ourselves where we are now to be treated differently from men
PY,woman,white,45 to 54,es,Poor 
IT,woman,white,25 to 34,,
PY,woman,choose_not_to_identify,18 to 24,,
PY,woman,choose_not_to_identify,55 to 64,es,Little
PY,woman,hispanic_or_latinx,18 to 24,es,Equality and inclusiveness
PY,woman,black_or_of_african_descent,18 to 24,es,I do not know 
UG,woman,black_or_of_african_descent,18 to 24,en,reaching out there to every women even in Africa
PY,woman,hispanic_or_latinx,45 to 54,es,"It will be just marketing, while all kinds of rights continue to be violated. "
IT,woman,white,25 to 34,it,I hope better than now.
PY,woman,hispanic_or_latinx,45 to 54,,
ID,cisgender_woman,choose_not_to_identify,55 to 64,id,Human rights for women in 10 years is already guaranteed in the 1945 Constitution but often harassed mis sexual abuse
ID,woman,asian,25 to 34,id,Equalized with men
PY,woman,hispanic_or_latinx,25 to 34,es,Much better if we unite
ID,woman,indigenous,45 to 54,,
ID,gender_choose_not_to_identify,indigenous,45 to 54,id,It hasn'`t gone well
ID,woman,choose_not_to_identify,25 to 34,id,Growing
PY,woman,hispanic_or_latinx,65 to 74,,
UG,woman,black_or_of_african_descent,25 to 34,en,I believe in 10years we shall be a step forward to curving violence of women'`s human rights
PY,woman,racial_identity_not_listed,45 to 54,es,It will be a little better 
CL,woman,hispanic_or_latinx,55 to 64,es,"As we go, we will be the ones who will have the world on our shoulders."
MX,woman,hispanic_or_latinx,45 to 54,es,With better care when there is one. Lawsuit for violence of all kinds
ID,woman,white,18 to 24,id,Disappointed
CA,woman,choose_not_to_identify,45 to 54,en,TThe complete and utter destruction of patriarchy.
CA,woman,choose_not_to_identify,45 to 54,en,"Women (not transgender) humans leading the masses of humanity. Female MPs, PMs, and such. "
CL,woman,choose_not_to_identify,65 to 74,es,Zero
CA,woman,white,65 to 74,en,Equality for women 
MX,woman,indigenous,18 to 24,es,Women'`s empowerment 
CL,woman,hispanic_or_latinx,25 to 34,es,It will be progressive 
MX,woman,indigenous,18 to 24,es,"With fewer deaths, more heard "
CL,woman,black_or_of_african_descent,25 to 34,es,This is going to change I think that little by little we are getting the difference not if in ten years we will reach a definitive equality but that many things will change of that if I am sure
CA,woman,white,55 to 64,en,Women will be safe
CL,woman,indigenous,18 to 24,es,A society where children'`s rights and well-being are prioritised
PY,woman,hispanic_or_latinx,18 to 24,es,"In my opinion, the number of women who take the leadership and defend the rights that should always be respected is increasing slowly but also helping to awaken women more and in that way in ten years it would be improved a little more "
MX,woman,indigenous,18 to 24,,
CA,woman,white,65 to 74,en,"see backlash, no progress"
MX,woman,choose_not_to_identify,18 to 24,,
CA,woman,black_or_of_african_descent,18 to 24,en,Protecting black women and folk
CL,woman,hispanic_or_latinx,65 to 74,en,Regular 
CA,woman,indigenous,55 to 64,,
CL,woman,indigenous_central_or_south_american,65 to 74,es,Equality before the law
CL,woman,hispanic_or_latinx+indigenous_central_or_south_american,75 or older,,
ID,woman,choose_not_to_identify,35 to 44,id,Grows properly
CA,woman,asian,55 to 64,en,We no longer have to speak out because its no longer an issue
ID,woman,asian,35 to 44,id,Quite satisfying
CL,woman,hispanic_or_latinx,55 to 64,es,Very slow and with political obstacles 
CL,woman,white,75 or older,es,Better 
CL,woman,hispanic_or_latinx,65 to 74,es,I hope that we will achieve greater respect for all human rights for all women on the planet.
CA,cisgender_woman+woman,white,65 to 74,en,"Safety, equality (renumeration, job opportunities), flexibility around pregnancy, 3 rd world education and rights, physical, conviction for all sexual abuse of women as well as physical.  Procescution of war crimes against women use of rape etc. "
CA,woman,white,55 to 64,en,"People no longer die of starvation or lack of clean water. There is absolutely no logical reason this should be taking place.\r\n\r\nThe slave trade, women/child sex trade, slave factory, mining, clothing practices are abolished. \r\n\r\nThere is a global disarmament- the dependence of countries economic policies being based on the proliferation and continuance of war (and the associated wholesale murder, rape, atrocities of every kind), and the ivestment of many trillions  of dollars annually, \r\nas well as the diversion of a massive amount of the earth'`s environmental resources (the military industrial complex exists and dictates the policies of most industrialized countries) begins the process of permanent  dismantling.\r\n\r\nThat all the empty talk of '`human rights and freedoms'`, as well as the mythical characteristic of ""humanity'` actually begin to genuinely manifest, become tangible.\r\n\r\n"
PY,woman,hispanic_or_latinx,18 to 24,en,IDK
CL,woman,hispanic_or_latinx,45 to 54,es,Well
CA,woman,white,55 to 64,en,A time when men don'`t Dare to belittle Women saying '`we will see how good you are'` 
CA,woman,indigenous,55 to 64,en,Equality in all areas
CA,woman,white,35 to 44,en,All abortions made illegal.\r\nStrict laws ensuring men are financially responsible for the children they father AND their mothers while they care for them.\r\n\r\nHonouring femininity rather than erasing it.
CA,woman,white,65 to 74,en,Outlaw the murder of the pre-born.
MX,woman,hispanic_or_latinx+indigenous,55 to 64,,
MX,woman,middle_eastern,45 to 54,en,Insiertos
CA,gender_choose_not_to_identify,choose_not_to_identify,35 to 44,en,If we stay far left under Trudeau then all women'`s rights will be abolished under their Great Reset.   Save Democracy and Freedom in Canada ????.   Remove the Liberal party.
